Fabric,Generation,Compute Type,Partition,Total Cores,Total Memory Gb,Total Gpus,Cores Per Node,Memory Per Node Gb,Nodes,Cpu Info,Gpu Info
hpc,7,gpu,pascalnodes,504,4608,72,28,256,18,Intel Xeon E5-2680 v4 2.40 GHz,NVIDIA Tesla P100 16 GB
hpc,8,cpu,cpu,504,4032,,24,192,21,Intel Xeon E5-2680 v4 2.50 GHz,
hpc,8,high memory,largemem,240,7680,,24,768,10,Intel Xeon E5-2680 v4 2.50 GHz,
hpc,8,high memory,largemem,96,6144,,24,1536,4,Intel Xeon E5-2680 v4 2.50 GHz,
hpc,9,cpu,cpu,2496,30056,,48,578,52,Intel Xeon Gold 6248R 3.00 GHz,
hpc,10,cpu,cpu,4352,17408,,128,512,34,AMD Epyc 7713 Milan 2.00 GHz,
Total,,,,8192,69928,72,,,139,,
