Fabric,Generation,Compute Type,Partition,Total Cores,Total Memory Gb,Total Gpus,Cores Per Node,Memory Per Node Gb,Nodes,Cpu Info,Gpu Info
container,1,cpu,,144,576,,48,192,3,Intel Xeon Gold 6248R 3.00 GHz,
container,1,gpu,,512,4096,32,128,1024,4,AMD Epyc 7742 Rome 2.25 GHz,NVIDIA A100 40 GB
Total,,,,656,4672,32,,,7,,
